Date,Timestamp_From,Timestamp_To,Brand_Name,Exposure_Duration_Seconds,Channel,Ad Type,Category,Product,Sector,Event Type,Placement Type,Frequency/Count
18-11-2025,16:00:00,16:00:00,Siddhartha Bank,15,Kantipur Max TV,COMMERCIAL_BREAK,Banking service,General banking,Finance,,,1
18-11-2025,16:00:16,16:00:16,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:00:21,16:00:21,Himstar,4,Kantipur Max TV,COMMERCIAL_BREAK,Consumer Durable-Home Appliances,Home Appliances,Consumer Durable,,,1
18-11-2025,16:00:26,16:00:26,Surya Jyoti Life Insurance,16,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Life insurance,Finance/Insurance,,,1
18-11-2025,16:00:43,16:00:43,Mangaldeep Dhoop,14,Kantipur Max TV,COMMERCIAL_BREAK,Spiritual Essentials,Dhoop,FMCG,,,1
18-11-2025,16:00:58,16:00:58,KIEC,13,Kantipur Max TV,COMMERCIAL_BREAK,Higher Education,Education centre,Education,,,1
18-11-2025,16:01:12,16:01:12,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:01:22,16:01:22,Nepal Life Insurance,5,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:01:28,16:01:28,KFC,11,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Crunchy Chicken,FMCG,,,1
18-11-2025,16:01:40,16:01:40,Asianpaints,29,Kantipur Max TV,COMMERCIAL_BREAK,Paint,Ultima Protek Shyne,Industrial,,,1
18-11-2025,16:02:10,16:02:10,Presidential Graduate School,3,Kantipur Max TV,COMMERCIAL_BREAK,Higher Education,Educational Courses,Education,,,1
18-11-2025,16:02:14,16:02:14,Himstar,4,Kantipur Max TV,COMMERCIAL_BREAK,Consumer Durable-Home Appliances,Home Appliances,Consumer Durable,,,1
18-11-2025,16:02:19,16:02:19,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:02:24,16:02:24,Xtreme,29,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:02:54,16:02:54,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:02:59,16:02:59,Somany Tiles and Bathware,24,Kantipur Max TV,COMMERCIAL_BREAK,Building Materials,Tiles and Bathware,Industrial,,,1
18-11-2025,16:03:24,16:03:24,KFC,11,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Crunchy Chicken,FMCG,,,1
18-11-2025,16:03:36,16:03:36,Nepal Life Insurance,5,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:03:42,16:03:42,Meizan,8,Kantipur Max TV,COMMERCIAL_BREAK,Edible Oil & Cooking Essential,Cooking Oil,FMCG,,,1
18-11-2025,16:03:51,16:03:51,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:04:01,16:04:01,Siddhartha Bank,15,Kantipur Max TV,COMMERCIAL_BREAK,Banking service,General banking,Finance,,,1
18-11-2025,16:04:17,16:04:17,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:04:22,16:04:22,Himstar,4,Kantipur Max TV,COMMERCIAL_BREAK,Consumer Durable-Home Appliances,Home Appliances,Consumer Durable,,,1
18-11-2025,16:04:27,16:04:27,Surya Jyoti Life Insurance,16,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Life insurance,Finance/Insurance,,,1
18-11-2025,16:04:44,16:04:44,Mangaldeep Dhoop,14,Kantipur Max TV,COMMERCIAL_BREAK,Spiritual Essentials,Dhoop,FMCG,,,1
18-11-2025,16:04:59,16:04:59,KIEC,13,Kantipur Max TV,COMMERCIAL_BREAK,Higher Education,Education centre,Education,,,1
18-11-2025,16:05:13,16:05:13,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:05:23,16:05:23,Nepal Life Insurance,5,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:05:29,16:05:29,KFC,10,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Crunchy Chicken,FMCG,,,1
18-11-2025,16:05:40,16:05:40,Asianpaints,29,Kantipur Max TV,COMMERCIAL_BREAK,Paint,Ultima Protek Shyne,Industrial,,,1
18-11-2025,16:06:10,16:06:10,Presidential Graduate School,4,Kantipur Max TV,COMMERCIAL_BREAK,Higher Education,Educational Courses,Education,,,1
18-11-2025,16:06:15,16:06:15,Himstar,4,Kantipur Max TV,COMMERCIAL_BREAK,Consumer Durable-Home Appliances,Home Appliances,Consumer Durable,,,1
18-11-2025,16:06:20,16:06:20,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:06:25,16:06:25,Xtreme,29,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:06:55,16:06:55,Siddhartha Bank,14,Kantipur Max TV,COMMERCIAL_BREAK,Banking service,General banking,Finance,,,1
18-11-2025,16:07:10,16:07:10,Ncell,11,Kantipur Max TV,COMMERCIAL_BREAK,Mobile Network,Data Pack,Telecommunication,,,1
18-11-2025,16:07:22,16:07:22,Red Bull,5,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:07:28,16:07:28,Asianpaints,15,Kantipur Max TV,COMMERCIAL_BREAK,Paint,Ultima Protek Shyne,Industrial,,,1
18-11-2025,16:07:44,16:07:44,Bajaj,8,Kantipur Max TV,COMMERCIAL_BREAK,Automobile,Pulsar,Automobile,,,1
18-11-2025,16:07:53,16:07:53,Wai Wai,4,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Quick Instant Noodles,FMCG,,,1
18-11-2025,16:07:58,16:07:58,Meizan,9,Kantipur Max TV,COMMERCIAL_BREAK,Edible Oil & Cooking Essential,Cooking Oil,FMCG,,,1
18-11-2025,16:08:08,16:08:08,Xtreme,10,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:08:19,16:08:19,Spil,8,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Motor Insurance,Finance/Insurance,,,1
18-11-2025,16:08:28,16:08:28,Ncell,13,Kantipur Max TV,COMMERCIAL_BREAK,Mobile Network,Data Pack,Telecommunication,,,1
18-11-2025,16:08:42,16:08:42,Red Bull,5,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:08:48,16:08:48,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:08:53,16:08:53,ElectriVa,15,Kantipur Max TV,COMMERCIAL_BREAK,EV Infrastructure,EV Charging Network,Automobile,,,1
18-11-2025,16:09:14,16:09:14,Asianpaints,14,Kantipur Max TV,COMMERCIAL_BREAK,Paint,Ultima Protek Shyne,Industrial,,,1
18-11-2025,16:09:29,16:09:29,Nepal Life Insurance,5,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:09:36,16:09:36,Himstar,3,Kantipur Max TV,COMMERCIAL_BREAK,Consumer Durable-Home Appliances,Home Appliances,Consumer Durable,,,1
18-11-2025,16:09:40,16:09:40,Wai Wai,4,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Quick Instant Noodles,FMCG,,,1
18-11-2025,16:09:45,16:09:45,Siddhartha Bank,4,Kantipur Max TV,COMMERCIAL_BREAK,Banking service,General banking,Finance,,,1
18-11-2025,16:09:55,16:09:55,Nemato Tiles,10,Kantipur Max TV,COMMERCIAL_BREAK,Building Materials,Tiles,Industrial,,,1
18-11-2025,16:10:06,16:10:06,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:10:11,16:10:11,Devil's Noodles,9,Kantipur Max TV,COMMERCIAL_BREAK,Food & Beverages,Spicy Chicken Noodles,FMCG,,,1
18-11-2025,16:10:21,16:10:21,Sonam,14,Kantipur Max TV,COMMERCIAL_BREAK,Bags,college and travel Bags,Lifestyle,,,1
18-11-2025,16:10:36,16:10:36,Nepal Life Insurance,5,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:10:42,16:10:42,Xtreme,9,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:11:05,16:11:05,Xtreme,4,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:11:10,16:11:10,Nepal Life Insurance,5,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:13:10,16:13:13,Spil,8,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Finance-Insurance,Spil,Finance/Insurance,,Boundary Rope,1
18-11-2025,16:13:58,16:14:01,Nemato Tiles,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Building Materials,Nemato Tiles,Industrial,,Jersey,1
18-11-2025,16:14:03,16:14:14,PLO Lubricants,12,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Automobile-lubricants,PLO Lubricants,Automobile,,Jersey,1
18-11-2025,16:14:17,16:14:22,PLO Lubricants,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Automobile-lubricants,PLO Lubricants,Automobile,,Jersey,1
18-11-2025,16:14:30,16:14:36,Devil's Noodles,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Food & Beverages,Devil's Noodles,FMCG,,Jersey,1
18-11-2025,16:14:37,16:14:43,PLO Lubricants,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Automobile-lubricants,PLO Lubricants,Automobile,,Jersey,1
18-11-2025,16:15:16,16:15:18,Dafa News,11,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Journalism,Dafa News,Entertainment,,Boundary Rope,1
18-11-2025,16:15:37,16:15:43,XEP Nepal,11,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Shoes,XEP,Lifestyle,,Jersey,1
18-11-2025,16:15:44,16:15:46,PLO Lubricants,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Automobile-lubricants,PLO Lubricants,Automobile,,Jersey,1
18-11-2025,16:15:57,16:16:02,Xtreme,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Beverages,Xtreme,FMCG,,TV Overlay,1
18-11-2025,16:16:23,16:16:25,Devil's Noodles,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Food & Beverages,Devil's Noodles,FMCG,,Jersey,1
18-11-2025,16:16:57,16:17:02,Dafa News,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Journalism,Dafa News,Entertainment,,Ground,1
18-11-2025,16:17:08,16:17:17,XEP Nepal,13,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Shoes,XEP,Lifestyle,,Jersey,1
18-11-2025,16:17:31,16:17:33,Nemato Tiles,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Building Materials,Nemato Tiles,Industrial,,Jersey,1
18-11-2025,16:17:48,16:17:56,XEP Nepal,17,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Shoes,XEP,Lifestyle,,Jersey,1
18-11-2025,16:19:10,16:19:13,Devil's Noodles,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Food & Beverages,Devil's Noodles,FMCG,,Jersey,1
18-11-2025,16:19:31,16:19:37,Devil's Noodles,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Food & Beverages,Devil's Noodles,FMCG,,Jersey,1
18-11-2025,16:19:38,16:19:44,Subisu,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Internet Services,ISP Service Provider,Services,,Jersey,1
18-11-2025,16:19:55,16:20:00,Meizan,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Edible Oil & Cooking Essential,Meizan,FMCG,,TV Overlay,1
18-11-2025,16:20:45,16:20:45,Xtreme,11,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:20:57,16:20:57,Nepal Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:21:07,16:21:07,Asianpaints,5,Kantipur Max TV,COMMERCIAL_BREAK,Paint,Ultima Protek Shyne,Industrial,,,1
18-11-2025,16:21:13,16:21:13,Siddhartha Bank,4,Kantipur Max TV,COMMERCIAL_BREAK,Banking service,General banking,Finance,,,1
18-11-2025,16:21:18,16:21:18,Red Bull,4,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:21:38,16:21:42,Sonam Thermals,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Clothing,Thermals & Jackets,Lifestyle,,Jersey,1
18-11-2025,16:21:53,16:21:56,PLO Lubricants,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Automobile-lubricants,PLO Lubricants,Automobile,,Jersey,1
18-11-2025,16:22:10,16:22:13,Devil's Noodles,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Food & Beverages,Devil's Noodles,FMCG,,Jersey,1
18-11-2025,16:23:13,16:23:17,Surya Jyoti Life Insurance,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Finance-Insurance,Surya Jyoti Life Insurance,Finance/Insurance,,TV Overlay,1
18-11-2025,16:23:20,16:23:24,Xtreme,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Beverages,Xtreme,FMCG,,TV Overlay,1
18-11-2025,16:23:50,16:23:50,Nepatop,4,Kantipur Max TV,COMMERCIAL_BREAK,Building Materials,Water Tank & Pipes,Industrial,,,1
18-11-2025,16:23:55,16:23:55,Surya Jyoti Life Insurance,4,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Life insurance,Finance/Insurance,,,1
18-11-2025,16:24:00,16:24:00,Xtreme,4,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:24:05,16:24:05,Siddhartha Bank,8,Kantipur Max TV,COMMERCIAL_BREAK,Banking service,General banking,Finance,,,1
18-11-2025,16:24:15,16:24:15,Ncell,5,Kantipur Max TV,COMMERCIAL_BREAK,Mobile Network,Data Pack,Telecommunication,,,1
18-11-2025,16:25:37,16:25:41,Presidential Graduate School,11,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Higher Education,Presidential Graduate School,Education,,TV Overlay,1
18-11-2025,16:26:10,16:26:10,Nepal Life Insurance,6,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Insurance Policies,Finance/Insurance,,,1
18-11-2025,16:26:17,16:26:17,Himstar,4,Kantipur Max TV,COMMERCIAL_BREAK,Consumer Durable-Home Appliances,Home Appliances,Consumer Durable,,,1
18-11-2025,16:26:22,16:26:22,Sanima Reliance Life Insurance,19,Kantipur Max TV,COMMERCIAL_BREAK,Finance-Insurance,Life insurance,Finance/Insurance,,,1
18-11-2025,16:26:42,16:26:42,Xtreme,4,Kantipur Max TV,COMMERCIAL_BREAK,Beverages,Energy Drink,FMCG,,,1
18-11-2025,16:27:06,16:27:08,Xtreme,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Beverages,Xtreme,FMCG,,TV Overlay,1
18-11-2025,16:27:10,16:27:12,Xtreme,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Beverages,Xtreme,FMCG,,TV Overlay,1
18-11-2025,16:27:16,16:27:18,Xtreme,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Beverages,Xtreme,FMCG,,TV Overlay,1
18-11-2025,16:27:57,16:28:03,United Cement,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Building Materials,United Cement,Industrial,,TV Overlay,1
18-11-2025,16:28:48,16:28:53,Somany Tiles and Bathware,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Building Materials,Somany Tiles and Bathware,Industrial,,TV Overlay,1
