Date,Timestamp_From,Timestamp_To,Exposure_Duration_Seconds,Channel,Ad Type,Brand_Name,Product,Category,Sector,Event Type,Placement Type,Frequency/Count
18-11-2025,11:40:23,11:40:30,8,Kantipur Max TV,SPOT_OUTSIDE_BREAK,KFC,Crunchy Chicken,Food & Beverages,FMCG,,Ground,1
18-11-2025,11:40:25,11:40:35,11,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Pepsi,Cool Drink,Beverages,FMCG,,Ground,1
18-11-2025,11:40:32,11:40:35,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Vayodha Hospital,Medical Services,Services-Medical,Healthcare,,Ground,1
18-11-2025,11:40:36,11:40:41,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,Stadium Banner,1
18-11-2025,11:40:36,11:40:41,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,IME,Khalti Pay,Digital Banking,Finance,,Ground,1
18-11-2025,11:40:36,11:40:41,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Presidential Graduate School,Educational Courses,Higher Education,Education,,Ground,1
18-11-2025,11:40:38,11:40:53,16,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Pepsi,Cool Drink,Beverages,FMCG,,Ground,1
18-11-2025,11:40:42,11:40:49,8,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,Stadium Banner,1
18-11-2025,11:40:50,11:40:53,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Presidential Graduate School,Educational Courses,Higher Education,Education,,Ground,1
18-11-2025,11:40:50,11:40:53,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,IME,Khalti Pay,Digital Banking,Finance,,Ground,1
18-11-2025,11:40:50,11:40:53,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,Stadium Banner,1
18-11-2025,11:40:54,11:41:00,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,Stadium Banner,1
18-11-2025,11:40:55,11:40:57,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Pepsi,Cool Drink,Beverages,FMCG,,Ground,1
18-11-2025,11:41:01,11:41:04,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Pepsi,Cool Drink,Beverages,FMCG,,Ground,1
18-11-2025,11:41:01,11:41:09,9,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,Stadium Banner,1
18-11-2025,11:41:01,11:41:09,9,Kantipur Max TV,SPOT_OUTSIDE_BREAK,IME,Khalti Pay,Digital Banking,Finance,,Ground,1
18-11-2025,11:41:01,11:41:09,9,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Presidential Graduate School,Educational Courses,Higher Education,Education,,Ground,1
18-11-2025,11:41:05,11:41:09,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Ground,1
18-11-2025,11:41:05,11:41:09,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Himalayan Distillery Ltd.,Golden Oak,Beverages,FMCG,,Ground,1
18-11-2025,11:41:05,11:41:09,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Happydent,Mint Chewing Gum,Confectionery,FMCG,,Ground,1
18-11-2025,11:41:05,11:41:09,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,KFC,Crunchy Chicken,Food & Beverages,FMCG,,Ground,1
18-11-2025,11:41:11,11:41:19,9,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,Stadium Banner,1
18-11-2025,11:41:12,11:41:19,8,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Asianpaints,Ultima Protek Shyne,Paint,Industrial,,Ground,1
18-11-2025,11:41:20,11:41:29,10,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Presidential Graduate School,Educational Courses,Higher Education,Education,,Ground,1
18-11-2025,11:41:20,11:41:29,10,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Himalayan Distillery Ltd.,Golden Oak,Beverages,FMCG,,Ground,1
18-11-2025,11:41:20,11:41:29,10,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Wai Wai,Quick Instant Noodles,Food & Beverages,FMCG,,Stadium Banner,1
18-11-2025,11:41:30,11:41:37,8,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Asianpaints,Ultima Protek Shyne,Paint,Industrial,,Ground,1
18-11-2025,11:41:30,11:41:41,12,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,Stadium Banner,1
18-11-2025,11:41:43,11:41:48,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Presidential Graduate School,Educational Courses,Higher Education,Education,,Stadium Banner,1
18-11-2025,11:41:43,11:41:48,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Wai Wai,Quick Instant Noodles,Food & Beverages,FMCG,,Ground,1
18-11-2025,11:42:31,11:42:46,16,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Red Bull,Energy Drink,Beverages,FMCG,,Stadium Banner,1
18-11-2025,11:42:31,11:42:46,16,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,Ground,1
18-11-2025,11:42:31,11:42:46,16,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,Ground,1
18-11-2025,11:42:31,11:42:46,16,Kantipur Max TV,SPOT_OUTSIDE_BREAK,IME,Khalti Pay,Digital Banking,Finance,,Ground,1
18-11-2025,11:42:31,11:42:46,16,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Ground,1
18-11-2025,11:42:31,11:42:46,16,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Wai Wai,Quick Instant Noodles,Food & Beverages,FMCG,,Ground,1
18-11-2025,11:42:59,11:43:05,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Red Bull,Energy Drink,Beverages,FMCG,,Ground,1
18-11-2025,11:42:59,11:43:05,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,Stadium Banner,1
18-11-2025,11:42:59,11:43:05,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,Ground,1
18-11-2025,11:42:59,11:43:05,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,IME,Khalti Pay,Digital Banking,Finance,,Ground,1
18-11-2025,11:43:21,11:43:29,9,Kantipur Max TV,SPOT_OUTSIDE_BREAK,XEP Nepal,Sports Clothing,Lifestyle,Lifestyle,,Stadium Banner,1
18-11-2025,11:43:44,11:43:52,9,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Pepsi,Cool Drink,Beverages,FMCG,,Stadium Banner,1
18-11-2025,11:50:46,11:50:55,9,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,11:50:56,11:51:02,6,Kantipur Max TV,COMMERCIAL_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,11:51:03,11:51:07,4,Kantipur Max TV,COMMERCIAL_BREAK,Bajaj,Pulsar,Automobile,Automobile,,,1
18-11-2025,11:51:08,11:51:13,5,Kantipur Max TV,COMMERCIAL_BREAK,Asianpaints,Ultima Protek Shyne,Paint,Industrial,,,1
18-11-2025,11:51:14,11:51:18,4,Kantipur Max TV,COMMERCIAL_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,,1
18-11-2025,11:51:19,11:51:23,4,Kantipur Max TV,COMMERCIAL_BREAK,Red Bull,Energy Drink,Beverages,FMCG,,,1
18-11-2025,11:56:05,11:56:09,4,Kantipur Max TV,COMMERCIAL_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,11:56:10,11:56:14,4,Kantipur Max TV,COMMERCIAL_BREAK,Himstar,Home Appliances,Consumer Durable-Home Appliances,Consumer Durable,,,1
18-11-2025,11:56:15,11:56:35,20,Kantipur Max TV,COMMERCIAL_BREAK,Sanima Reliance Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,11:56:36,11:56:41,5,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:00:47,12:00:56,9,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:00:57,12:01:02,5,Kantipur Max TV,COMMERCIAL_BREAK,Asianpaints,Ultima Protek Shyne,Paint,Industrial,,,1
18-11-2025,12:01:03,12:01:08,5,Kantipur Max TV,COMMERCIAL_BREAK,Wai Wai,Quick Instant Noodles,Food & Beverages,FMCG,,,1
18-11-2025,12:01:09,12:01:23,14,Kantipur Max TV,COMMERCIAL_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,,1
18-11-2025,12:06:40,12:06:42,2,Kantipur Max TV,COMMERCIAL_BREAK,Bajaj,Pulsar,Automobile,Automobile,,,1
18-11-2025,12:06:43,12:06:48,5,Kantipur Max TV,COMMERCIAL_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,12:06:49,12:06:54,5,Kantipur Max TV,COMMERCIAL_BREAK,United Ajod Insurance Limited,Insurance Policies,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,12:06:55,12:07:08,13,Kantipur Max TV,COMMERCIAL_BREAK,MIT,College,Higher Education,Education,,,1
18-11-2025,12:07:09,12:07:14,5,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:10:12,12:10:20,8,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:10:21,12:10:26,5,Kantipur Max TV,COMMERCIAL_BREAK,Asianpaints,Ultima Protek Shyne,Paint,Industrial,,,1
18-11-2025,12:10:27,12:10:30,3,Kantipur Max TV,COMMERCIAL_BREAK,Sunfeast,Dark Fantasy,Food & Beverages,FMCG,,,1
18-11-2025,12:10:31,12:10:34,3,Kantipur Max TV,COMMERCIAL_BREAK,Presidential Graduate School,Educational Courses,Higher Education,Education,,,1
18-11-2025,12:10:35,12:10:46,11,Kantipur Max TV,COMMERCIAL_BREAK,Somany Tiles and Bathware,Tiles and Bathware,Building Materials,Industrial,,,1
18-11-2025,12:15:22,12:15:28,6,Kantipur Max TV,COMMERCIAL_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,12:15:29,12:15:31,2,Kantipur Max TV,COMMERCIAL_BREAK,Bajaj,Pulsar,Automobile,Automobile,,,1
18-11-2025,12:15:32,12:15:39,7,Kantipur Max TV,COMMERCIAL_BREAK,Embark College,Graduational Courses,Higher Education,Education,,,1
18-11-2025,12:15:40,12:15:51,11,Kantipur Max TV,COMMERCIAL_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,,1
18-11-2025,12:15:52,12:15:56,4,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:18:46,12:18:54,8,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:18:55,12:19:00,5,Kantipur Max TV,COMMERCIAL_BREAK,Asianpaints,Ultima Protek Shyne,Paint,Industrial,,,1
18-11-2025,12:19:01,12:19:05,4,Kantipur Max TV,COMMERCIAL_BREAK,Himstar,Home Appliances,Consumer Durable-Home Appliances,Consumer Durable,,,1
18-11-2025,12:19:06,12:19:13,7,Kantipur Max TV,COMMERCIAL_BREAK,Somany Tiles and Bathware,Tiles and Bathware,Building Materials,Industrial,,,1
18-11-2025,12:19:14,12:19:25,11,Kantipur Max TV,COMMERCIAL_BREAK,KFC,Crunchy Chicken,Food & Beverages,FMCG,,,1
18-11-2025,12:23:29,12:23:39,10,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:23:40,12:23:44,4,Kantipur Max TV,COMMERCIAL_BREAK,Asianpaints,Ultima Protek Shyne,Paint,Industrial,,,1
18-11-2025,12:23:45,12:23:57,12,Kantipur Max TV,COMMERCIAL_BREAK,KIEC,Education centre,Higher Education,Education,,,1
18-11-2025,12:23:58,12:24:01,3,Kantipur Max TV,COMMERCIAL_BREAK,Red Bull,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:25:59,12:26:04,5,Kantipur Max TV,COMMERCIAL_BREAK,Nepatop,Water Tank & Pipes,Building Materials,Industrial,,,1
18-11-2025,12:26:05,12:26:09,4,Kantipur Max TV,COMMERCIAL_BREAK,Surya Jyoti Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,12:26:10,12:26:14,4,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:26:15,12:26:23,8,Kantipur Max TV,COMMERCIAL_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,,1
18-11-2025,12:26:24,12:26:38,14,Kantipur Max TV,COMMERCIAL_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,,1
18-11-2025,12:27:34,12:27:37,3,Kantipur Max TV,COMMERCIAL_BREAK,Bajaj,Pulsar,Automobile,Automobile,,,1
18-11-2025,12:27:38,12:27:44,6,Kantipur Max TV,COMMERCIAL_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,12:27:45,12:27:48,3,Kantipur Max TV,COMMERCIAL_BREAK,Wai Wai,Quick Instant Noodles,Food & Beverages,FMCG,,,1
18-11-2025,12:27:49,12:28:03,14,Kantipur Max TV,COMMERCIAL_BREAK,MIT,College,Higher Education,Education,,,1
18-11-2025,12:28:04,12:28:08,4,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:32:21,12:32:27,6,Kantipur Max TV,COMMERCIAL_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,12:32:28,12:32:32,4,Kantipur Max TV,COMMERCIAL_BREAK,Wai Wai,Quick Instant Noodles,Food & Beverages,FMCG,,,1
18-11-2025,12:32:33,12:32:42,9,Kantipur Max TV,COMMERCIAL_BREAK,Sunfeast,Dark Fantasy,Food & Beverages,FMCG,,,1
18-11-2025,12:32:43,12:32:46,3,Kantipur Max TV,COMMERCIAL_BREAK,Presidential Graduate School,Educational Courses,Higher Education,Education,,,1
18-11-2025,12:32:47,12:32:51,4,Kantipur Max TV,COMMERCIAL_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,,1
18-11-2025,12:32:52,12:32:56,4,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:33:26,12:33:36,10,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:33:37,12:33:42,5,Kantipur Max TV,COMMERCIAL_BREAK,Asianpaints,Ultima Protek Shyne,Paint,Industrial,,,1
18-11-2025,12:33:43,12:33:46,3,Kantipur Max TV,COMMERCIAL_BREAK,Himstar,Home Appliances,Consumer Durable-Home Appliances,Consumer Durable,,,1
18-11-2025,12:33:47,12:33:52,5,Kantipur Max TV,COMMERCIAL_BREAK,Somany Tiles and Bathware,Tiles and Bathware,Building Materials,Industrial,,,1
18-11-2025,12:33:53,12:34:03,10,Kantipur Max TV,COMMERCIAL_BREAK,KFC,Crunchy Chicken,Food & Beverages,FMCG,,,1
18-11-2025,12:34:04,12:34:19,15,Kantipur Max TV,COMMERCIAL_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,,1
18-11-2025,12:34:20,12:34:29,9,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:34:30,12:34:43,13,Kantipur Max TV,COMMERCIAL_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,,1
18-11-2025,12:34:44,12:34:50,6,Kantipur Max TV,COMMERCIAL_BREAK,Red Bull,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:34:51,12:34:55,4,Kantipur Max TV,COMMERCIAL_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,12:34:56,12:35:05,9,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:35:06,12:35:11,5,Kantipur Max TV,COMMERCIAL_BREAK,Asianpaints,Ultima Protek Shyne,Paint,Industrial,,,1
18-11-2025,12:35:12,12:35:15,3,Kantipur Max TV,COMMERCIAL_BREAK,Bajaj,Pulsar,Automobile,Automobile,,,1
18-11-2025,12:35:16,12:35:27,11,Kantipur Max TV,COMMERCIAL_BREAK,Blue Star,Blue Star,Consumer Durable-Home Appliances,Consumer Durable,,,1
18-11-2025,12:35:28,12:35:37,9,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:35:51,12:35:53,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,Team Dugout,1
18-11-2025,12:35:51,12:35:53,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Spil,Motor Insurance,Finance-Insurance,Finance/Insurance,,Team Dugout,1
18-11-2025,12:35:51,12:35:53,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Team Dugout,1
18-11-2025,12:35:51,12:35:53,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,KFC,Crunchy Chicken,Food & Beverages,FMCG,,Team Dugout,1
18-11-2025,12:35:54,12:35:59,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,TV Overlay,1
18-11-2025,12:36:02,12:36:04,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Nebico digestive,Biscuits,Food & Beverages,FMCG,,Jersey,1
18-11-2025,12:36:05,12:36:12,7,Kantipur Max TV,COMMERCIAL_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
18-11-2025,12:36:13,12:36:17,4,Kantipur Max TV,COMMERCIAL_BREAK,Wai Wai,Quick Instant Noodles,Food & Beverages,FMCG,,,1
18-11-2025,12:36:18,12:36:27,9,Kantipur Max TV,COMMERCIAL_BREAK,Sunfeast,Dark Fantasy,Food & Beverages,FMCG,,,1
18-11-2025,12:36:28,12:36:32,4,Kantipur Max TV,COMMERCIAL_BREAK,Presidential Graduate School,Educational Courses,Higher Education,Education,,,1
18-11-2025,12:36:33,12:36:42,10,Kantipur Max TV,SPOT_OUTSIDE_BREAK,NPL(Nepal Premier League),Cricket,Entertainment-Cricket,Entertainment,,TV Overlay,1
18-11-2025,12:36:46,12:36:49,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,XEP Nepal,Sports Clothing,Lifestyle,Lifestyle,,Boundary Board,1
18-11-2025,12:36:48,12:36:52,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,Boundary Board,1
18-11-2025,12:36:56,12:37:01,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,TV Overlay,1
18-11-2025,12:37:02,12:37:07,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Himstar,Home Appliances,Consumer Durable-Home Appliances,Consumer Durable,,TV Overlay,1
18-11-2025,12:37:08,12:37:12,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Yeti Carpet,Carpets,Home Decor,Home Furnishing,,TV Overlay,1
18-11-2025,12:37:20,12:37:24,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,TV Overlay,1
18-11-2025,12:37:26,12:37:31,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Bajaj,Pulsar,Automobile,Automobile,,TV Overlay,1
18-11-2025,12:37:38,12:37:44,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,TV Overlay,1
18-11-2025,12:37:45,12:38:00,16,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Nepal Clearing House Ltd.,Nepal PAY,Digital Banking,Finance/Insurance,,Boundary Rope,1
18-11-2025,12:37:45,12:38:00,16,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Ncell,Data Pack,Mobile Network,Telecommunication,,Boundary Rope,1
18-11-2025,12:38:33,12:38:36,4,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Ground,1
18-11-2025,12:38:34,12:38:36,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Red Bull,Energy Drink,Beverages,FMCG,,Boundary Board,1
18-11-2025,12:38:56,12:39:00,5,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,TV Overlay,1
18-11-2025,12:39:06,12:39:12,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Red Bull,Energy Drink,Beverages,FMCG,,Boundary Board,1
18-11-2025,12:39:06,12:39:12,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Dafa News,News channel,Journalism,Entertainment,,Boundary Board,1
18-11-2025,12:39:06,12:39:12,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Ground,1
18-11-2025,12:39:06,12:39:12,7,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,Boundary Board,1
18-11-2025,12:39:16,12:39:18,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Ground,1
18-11-2025,12:39:16,12:39:18,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,Boundary Board,1
18-11-2025,12:39:16,12:39:18,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Dafa News,News channel,Journalism,Entertainment,,Boundary Board,1
18-11-2025,12:39:16,12:39:18,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Red Bull,Energy Drink,Beverages,FMCG,,Boundary Board,1
18-11-2025,12:39:36,12:39:38,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Indrive,Ride-sharing,Ride-hailing,E-commerce/Tech,,Ground,1
18-11-2025,12:39:36,12:39:38,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Siddhartha Bank,General banking,Banking service,Finance,,Boundary Board,1
18-11-2025,12:39:36,12:39:38,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Dafa News,News channel,Journalism,Entertainment,,Boundary Board,1
18-11-2025,12:39:36,12:39:38,3,Kantipur Max TV,SPOT_OUTSIDE_BREAK,Red Bull,Energy Drink,Beverages,FMCG,,Boundary Board,1
18-11-2025,12:39:39,12:39:44,6,Kantipur Max TV,SPOT_OUTSIDE_BREAK,XEP Nepal,Sports Clothing,Lifestyle,Lifestyle,,Jersey,1
18-11-2025,12:39:46,12:39:56,10,Kantipur Max TV,COMMERCIAL_BREAK,Xtreme,Energy Drink,Beverages,FMCG,,,1
18-11-2025,12:39:57,12:40:02,5,Kantipur Max TV,COMMERCIAL_BREAK,Nepal Life Insurance,Life insurance,Finance-Insurance,Finance/Insurance,,,1
